Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-01-02,21.3278,21.4363,21.3121,21.3733
2018-01-03,21.3534,21.3587,21.2469,21.2542
2018-01-04,21.2943,21.3761,21.2501,21.3739
2018-01-05,21.3686,21.3702,21.3272,21.344
2018-01-08,21.3038,21.304,21.1649,21.1917
2018-01-09,21.1802,21.1804,21.04,21.0861
2018-01-10,21.1219,21.3,21.0876,21.2878
2018-01-11,21.1471,21.2024,21.1068,21.1848
2018-01-12,21.358,21.4945,21.3447,21.4742
2018-01-15,21.4729,21.8333,21.4632,21.6972
2018-01-16,21.7193,21.7442,21.6034,21.6893
2018-01-17,21.6783,21.7149,21.5817,21.5909
2018-01-18,21.5695,21.7048,21.5653,21.6654
2018-01-19,21.7304,21.7863,21.7165,21.7323
2018-01-22,21.6561,21.752,21.6447,21.6919
2018-01-23,21.711,21.7398,21.6151,21.7201
2018-01-24,21.832,21.897,21.7791,21.8486
2018-01-25,21.972,22.0106,21.9156,21.9579
2018-01-26,22.0284,22.0987,21.9891,22.0043
2018-01-29,21.9378,21.9726,21.8536,21.8956
2018-01-30,21.8741,21.9851,21.7724,21.9183
2018-01-31,21.9437,22.0304,21.9284,21.9613
2018-02-01,21.8723,21.9799,21.8723,21.9479
2018-02-02,22.0711,22.0883,22.0148,22.0324
2018-02-05,21.9576,22.0583,21.9221,21.9852
2018-02-06,21.8889,21.9454,21.7728,21.7916
2018-02-07,21.875,21.8984,21.7703,21.7952
2018-02-08,21.6979,21.7027,21.5968,21.6241
2018-02-09,21.6995,21.7288,21.6228,21.6455
2018-02-12,21.6479,21.758,21.619,21.7032
2018-02-13,21.7107,21.8982,21.7077,21.831
2018-02-14,21.9242,21.9408,21.7925,21.8962
2018-02-15,22.1273,22.1726,22.0292,22.0716
2018-02-16,22.1341,22.142,22.0025,22.0183
2018-02-19,21.922,22.0142,21.8603,21.9797
2018-02-20,21.899,21.899,21.7702,21.8289
2018-02-21,21.8139,21.859,21.7196,21.805
2018-02-22,21.7224,21.7868,21.6799,21.7102
2018-02-23,21.7291,21.7954,21.7259,21.7688
2018-02-26,21.7685,21.8254,21.7323,21.7564
2018-02-27,21.7579,21.8237,21.6845,21.7393
2018-02-28,21.5698,21.5926,21.4951,21.5423
2018-03-01,21.5117,21.5522,21.4272,21.4843
2018-03-02,21.6138,21.7358,21.6069,21.7188
2018-03-05,21.6272,21.732,21.6102,21.6293
2018-03-06,21.7543,21.8821,21.7244,21.8423
2018-03-07,21.869,21.9508,21.8294,21.8493
2018-03-08,21.8246,21.883,21.7604,21.8012
2018-03-09,21.701,21.7061,21.6501,21.6643
2018-03-12,21.7413,21.766,21.6383,21.7056
2018-03-13,21.7091,21.7809,21.6678,21.7269
2018-03-14,21.8272,21.8699,21.766,21.8429
2018-03-15,21.7782,21.8439,21.7169,21.7177
2018-03-16,21.6934,21.7296,21.6738,21.7156
2018-03-19,21.6292,21.7597,21.5924,21.7341
2018-03-20,21.7589,21.779,21.6437,21.6477
2018-03-21,21.6461,21.6983,21.6171,21.6404
2018-03-22,21.8288,21.8547,21.694,21.7362
2018-03-23,21.7533,21.7812,21.711,21.7678
2018-03-26,21.7955,21.9194,21.7918,21.9189
2018-03-27,21.9664,22.0225,21.86,21.8606
2018-03-28,21.8478,21.9126,21.7978,21.8774
2018-03-29,21.7535,21.7799,21.6949,21.7774
2018-03-30,21.7562,21.7669,21.6729,21.7616
2018-04-02,21.7397,21.7961,21.7386,21.7836
2018-04-03,21.7278,21.7986,21.6565,21.7235
2018-04-04,21.702,21.7864,21.5904,21.7225
2018-04-05,21.7083,21.7409,21.5976,21.7014
2018-04-06,21.6392,21.6596,21.6038,21.6425
2018-04-09,21.7106,21.7295,21.6835,21.7056
2018-04-10,21.7585,21.8328,21.7074,21.7963
2018-04-11,21.8577,21.9125,21.8032,21.8933
2018-04-12,21.8552,21.8955,21.7863,21.8527
2018-04-13,21.8044,21.8095,21.6817,21.7008
2018-04-16,21.7202,21.9103,21.7135,21.882
2018-04-17,21.9586,21.9904,21.8804,21.9023
2018-04-18,21.9048,21.9319,21.787,21.91
2018-04-19,21.9203,21.9579,21.8506,21.934
2018-04-20,21.8243,21.8464,21.6806,21.6887
2018-04-23,21.6299,21.7569,21.5425,21.6474
2018-04-24,21.6402,21.6458,21.5547,21.6216
2018-04-25,21.6142,21.6318,21.5775,21.5822
2018-04-26,21.5569,21.5924,21.4892,21.565
2018-04-27,21.4032,21.4071,21.3443,21.3848
2018-04-30,21.4699,21.4788,21.3161,21.3257
2018-05-01,21.2816,21.3444,21.2803,21.3318
2018-05-02,21.203,21.2618,21.1436,21.1587
2018-05-03,21.2009,21.223,21.1118,21.1504
2018-05-04,21.1668,21.1694,21.073,21.0948
2018-05-07,21.0888,21.1508,21.0478,21.1165
2018-05-08,21.1268,21.1687,21.0157,21.0323
2018-05-09,20.9708,21.1414,20.9126,21.106
2018-05-10,21.1146,21.1965,21.0381,21.1813
2018-05-11,21.0794,21.1516,21.0396,21.1252
2018-05-14,21.1704,21.4218,21.1587,21.3637
2018-05-15,21.232,21.295,21.1899,21.2338
2018-05-16,21.1112,21.1762,21.0575,21.0592
2018-05-17,21.1518,21.1931,21.0424,21.1381
2018-05-18,21.0332,21.0673,20.9622,20.9684
2018-05-21,20.912,21.0813,20.8946,21.0813
2018-05-22,21.0839,21.2106,21.041,21.1549
2018-05-23,21.0903,21.0945,20.9305,20.9929
2018-05-24,20.9663,21.0663,20.9587,21.0053
2018-05-25,20.9919,21.0248,20.9393,20.9645
2018-05-28,20.9897,21.002,20.8361,20.8687
2018-05-29,20.8095,20.8168,20.6257,20.6862
2018-05-30,20.7414,20.8583,20.7242,20.8474
2018-05-31,20.9216,21.012,20.8913,20.9298
2018-06-01,20.89,20.9741,20.8839,20.9314
2018-06-04,20.9235,21.0293,20.8814,20.9563
2018-06-05,20.9409,20.9833,20.894,20.896
2018-06-06,21.0094,21.0808,20.9655,21.0526
2018-06-07,21.1196,21.1703,21.0673,21.0691
2018-06-08,21.017,21.0356,20.9346,20.9499
2018-06-11,21.0758,21.1201,20.9869,21.027
2018-06-12,20.9734,21.0943,20.9691,21.023
2018-06-13,20.9706,21.0336,20.9191,21.0019
2018-06-14,21.1016,21.1636,21.0563,21.0979
2018-06-15,20.6387,20.7328,20.599,20.6872
2018-06-18,20.6877,20.7481,20.6417,20.7296
2018-06-19,20.7279,20.7282,20.5839,20.6565
2018-06-20,20.6808,20.7476,20.6188,20.7055
2018-06-21,20.6744,20.7021,20.5801,20.6715
2018-06-22,20.7885,20.8662,20.7837,20.8056
2018-06-25,20.8259,20.9279,20.7896,20.9279
2018-06-26,20.9159,20.9386,20.8235,20.8919
2018-06-27,20.8712,20.894,20.7769,20.7811
2018-06-28,20.6588,20.7758,20.6016,20.7449
2018-06-29,20.8205,20.8662,20.7749,20.8378
2018-07-02,20.8316,20.8661,20.7551,20.8129
2018-07-03,20.842,20.9191,20.8221,20.8997
2018-07-04,20.9251,20.9287,20.8042,20.8063
2018-07-05,20.914,20.9441,20.8245,20.9205
2018-07-06,20.9647,20.9754,20.9303,20.9561
2018-07-09,21.0603,21.1013,20.984,21.0826
2018-07-10,21.0009,21.0651,20.9022,20.9527
2018-07-11,21.0091,21.0463,20.9137,20.9823
2018-07-12,20.8854,20.9386,20.8125,20.8663
2018-07-13,20.8645,20.8791,20.7861,20.7893
2018-07-16,20.9269,20.9955,20.8593,20.968
2018-07-17,20.9975,21.0305,20.9108,20.9805
2018-07-18,20.8144,20.8424,20.7337,20.7941
2018-07-19,20.8199,20.824,20.6977,20.7369
2018-07-20,20.8718,20.8741,20.8236,20.8607
2018-07-23,20.9857,21.0302,20.9315,20.9837
2018-07-24,20.8872,20.9828,20.811,20.9763
2018-07-25,20.9243,20.9664,20.8468,20.9428
2018-07-26,21.0112,21.0187,20.9384,20.9461
2018-07-27,20.8402,20.8682,20.8013,20.8168
2018-07-30,20.8624,20.9295,20.7891,20.8889
2018-07-31,20.955,21.018,20.8981,20.9715
2018-08-01,20.8698,20.9101,20.8128,20.8562
2018-08-02,20.8142,20.8156,20.7299,20.7702
2018-08-03,20.7114,20.7455,20.6674,20.7455
2018-08-06,20.6513,20.6809,20.5744,20.6122
2018-08-07,20.6844,20.7622,20.6617,20.7483
2018-08-08,20.7608,20.7864,20.6866,20.7094
2018-08-09,20.7375,20.7534,20.6699,20.6973
2018-08-10,20.4621,20.5079,20.4409,20.463
2018-08-13,20.3583,20.4098,20.3143,20.3371
2018-08-14,20.4489,20.4643,20.36,20.4363
2018-08-15,20.2713,20.3143,20.17,20.2796
2018-08-16,20.3674,20.4217,20.3286,20.365
2018-08-17,20.3819,20.4378,20.3591,20.3883
2018-08-20,20.4295,20.4691,20.419,20.4479
2018-08-21,20.6442,20.6715,20.5891,20.5998
2018-08-22,20.6652,20.7587,20.6488,20.7447
2018-08-23,20.6705,20.7217,20.6437,20.7182
2018-08-24,20.6823,20.702,20.6471,20.6914
2018-08-27,20.7716,20.8343,20.7278,20.8237
2018-08-28,20.8893,20.9803,20.8503,20.9729
2018-08-29,20.9038,20.9391,20.8576,20.8711
2018-08-30,20.9301,20.9907,20.8958,20.9186
2018-08-31,20.8993,20.9008,20.7587,20.7718
2018-09-03,20.6896,20.8452,20.6838,20.8054
2018-09-04,20.7683,20.7756,20.6124,20.7396
2018-09-05,20.7243,20.7926,20.6351,20.7883
2018-09-06,20.8286,20.8791,20.7347,20.8333
2018-09-07,20.8149,20.8426,20.7568,20.7672
2018-09-10,20.6681,20.7708,20.632,20.7594
2018-09-11,20.7325,20.7694,20.6507,20.6663
2018-09-12,20.6784,20.8348,20.6664,20.7893
2018-09-13,20.8338,20.8789,20.7274,20.8293
2018-09-14,20.9651,20.993,20.9413,20.9461
2018-09-17,20.829,20.9402,20.8175,20.885
2018-09-18,20.9831,20.9831,20.8991,20.9166
2018-09-19,20.9392,21.0126,20.9039,20.9458
2018-09-20,20.9761,21.054,20.8929,21.054
2018-09-21,21.0963,21.1397,21.0664,21.0863
